"","x"
"1","/gabriela-rocha/me-atraiu/"
"2","/jefferson-e-suellen/vem-me-buscar/"
"3","/isaias-saad/bondade-de-deus/"
"4","/simone-mendes/erro-gostoso/"
"5","/maria-marcal/deserto/"
"6","/theo-rubia/pode-morar-aqui/"
"7","/bruno-e-marrone/boate-azul/"
"8","/aline-barros/jeova-jireh/"
"9","/chitaozinho-e-xororo/evidencias/"
"10","/harpa-crista/porque-ele-vive/"
"11","/harpa-crista/eu-navegarei/"
"12","/ana-castela/nosso-quadro/"
"13","/ministerio-morada/so-tu-s-santo/"
"14","/ze-neto-cristiano/oi-balde/"
"15","/legiao-urbana/tempo-perdido/"
"16","/isaias-saad/ousado-amor/"
"17","/gabriela-rocha/lugar-secreto/"
"18","/henrique-e-juliano/flor-e-o-beija-flor/"
"19","/caetano-veloso/sozinho/"
"20","/diante-do-trono/a-ele-gloria/"
"21","/adhemar-de-campos/grande-o-senhor/"
"22","/ministerio-morada/e-tudo-sobre-voce/"
"23","/bruno-e-marrone/vida-vazia/"
"24","/laura-souguellis/em-teus-bracos/"
"25","/ministerio-avivah/maranata/"
"26","/ana-nobrega/oceanos/"
"27","/bruno-e-marrone/dormi-na-praca/"
"28","/chitaozinho-e-xororo/sinonimos/"
"29","/tribalistas/velha-infancia/"
"30","/fernanda-brum/o-que-tua-gloria-fez-comigo/"
"31","/ana-nobrega/oh-quao-lindo-esse-nome-/"
"32","/laura-souguellis/santo-espirito/"
"33","/rita-lee/ovelha-negra/"
"34","/charlie-brown-jr/ceu-azul/"
"35","/preto-no-branco/ninguem-explica-deus/"
"36","/casa-worship/a-casa-e-sua/"
"37","/ministerio-morada/pra-onde-eu-irei/"
"38","/ze-ramalho/chao-de-giz/"
"39","/alessandro-vilas-boas/quero-conhecer-jesus-o-meu-amado--o-mais-belo/"
"40","/ministerio-pedras-vivas/pai-nosso/"
"41","/talita-catanzaro/ruja-o-leao/"
"42","/gabriel-guedes/a-bencao/"
"43","/alceu-valenca/anunciacao/"
"44","/harpa-crista/em-espirito-em-verdade/"
"45","/1kilo/deixe-me-ir/"
"46","/aline-barros/consagracao/"
"47","/gabriel-guedes/vitorioso-es/"
"48","/charlie-brown-jr/so-os-loucos-sabem/"
"49","/gabriela-rocha/atos-2/"
"50","/gian-e-giovanni/convite-de-casamento/"
"51","/capital-inicial/primeiros-erros/"
"52","/voz-da-verdade/alem-do-rio-azul/"
"53","/cassia-eller/malandragem/"
"54","/ministerio-zoe/aquieta-minh-alma/"
"55","/marilia-mendonca/leao/"
"56","/gabriela-rocha/eu-navegarei/"
"57","/jota-quest/so-hoje/"
"58","/cassiane/com-muito-louvor/"
"59","/ministerio-morada/emaus/"
"60","/anderson-freire/raridade/"
"61","/corinhos-evangelicos/ao-nico/"
"62","/bruno-e-marrone/bijuteria/"
"63","/isaias-saad/ruja-o-leao-que-se-abram-os-ceus-part-nivea-soares/"
"64","/coldplay/yellow/"
"65","/catolicas/sequencia-de-pentecostes/"
"66","/victor-leo/borboletas/"
"67","/fernandinho/galileu/"
"68","/samuel-messias/os-planos-de-deus-barquinho/"
"69","/aline-barros/sonda-me-usa-me/"
"70","/vida-reluz/perfeito-quem-te-criou/"
"71","/henrique-e-juliano/a-maior-saudade/"
"72","/voz-da-verdade/o-escudo/"
"73","/cristiano-araujo/caso-indefinido/"
"74","/amanda-wanessa/ta-chorando-porque/"
"75","/legiao-urbana/pais-filhos/"
"76","/eliana-ribeiro/enviai/"
"77","/renascer-praise/1000-graus/"
"78","/ze-ramalho/sinonimo/"
"79","/nelson-goncalves/naquela-mesa/"
"80","/gusttavo-lima/na-hora-de-amar/"
"81","/marcelo-markes/eu-tenho-voce/"
"82","/radiohead/creep/"
"83","/jorge-mateus/louca-de-saudade/"
"84","/fernandinho/nada-alem-do-sangue/"
"85","/coral-kemuel/algo-novo-part-lukas-agustinho/"
"86","/soraya-moraes/caminho-no-deserto/"
"87","/bruno-e-marrone/por-um-minuto/"
"88","/davi-fernandes/aviva-nos-a-terra-clama-medley/"
"89","/ana-vilela/trem-bala/"
"90","/midian-lima/nao-pare/"
